"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"2768",NA,19,121,4.48,74.25,NA,4345,"DB","S",NA,1.47,6.97,4.27,2.53,32.5,212,NA,2008
"2769",NA,21,103,5.13,78,NA,4328,"OL","G",NA,1.78,7.95,4.85,2.98,25,315,NA,2008
"2770",NA,28,108,5.16,77,NA,4353,"OL","G",NA,1.8,8.01,5.14,3.01,25.5,315,NA,2008
"2771",NA,24,105,5.07,76.125,NA,4340,"OL","T",NA,1.76,7.58,4.52,2.96,27.5,315,NA,2008
"2772",NA,27,102,5.55,78,NA,4333,"OL","T",NA,1.83,NA,NA,3.1,22.5,322,NA,2008
"2773",NA,23,118,4.44,73.375,NA,4358,"RB","HB",NA,1.49,6.84,4.23,2.55,33,217,NA,2008
"2774",NA,37,125,4.65,75,NA,4320,"DL","ED",NA,1.58,7.12,4.4,2.68,35.5,266,NA,2008
"2775",32.25,NA,114,4.54,73.25,NA,4324,"LB","LB",9.875,1.5,7.31,4.29,2.58,32,242,NA,2008
"2776",NA,31,108,4.82,76.25,NA,4342,"DL","ED",NA,1.65,7.08,4.4,2.83,31,271,NA,2008
"2777",NA,NA,NA,NA,77.25,NA,4368,"DL","ED",NA,1.59,NA,NA,2.73,NA,273,NA,2008
"2778",NA,NA,NA,NA,70.25,NA,4339,"DB","CB",NA,1.47,NA,NA,2.53,NA,197,NA,2008
"2779",33.625,NA,126,4.41,73.875,NA,4348,"WO","WR",9.875,1.48,7.15,4.26,2.52,28,215,NA,2008
"2780",34,32,97,4.95,76.25,NA,7955,"OL","T",9.875,1.73,7.71,4.56,2.91,30.5,306,NA,2013
"2781",NA,24,NA,5.18,78.125,NA,4326,"OL","T",NA,NA,NA,NA,NA,NA,309,NA,2008
"2782",34.5,28,NA,5.5,76.625,NA,4335,"OL","T",10.375,NA,NA,NA,NA,NA,309,NA,2008
"2783",34,NA,NA,NA,78.375,NA,4331,"OL","T",11,1.76,NA,NA,3,NA,314,NA,2008
"2784",NA,26,131,4.53,74.125,NA,4344,"TE","TE",NA,1.62,6.88,4.14,2.65,38,242,NA,2008
