"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"131","Frank Gore",2282,2018,"MIA",105,4.89951102620079,4.81691201841933,-0.0825990077814689,4.58,2005,2.66,1.60130952380952,43.6,131,4.57,2.67
"132","DeAndre Washington",10777,2019,"LV",104,5.34327751168838,5.25580218641357,-0.0874753252748087,4.49,2016,2.61,1.55,43.1,132,4.57,2.67
"133","Ezekiel Elliott",10638,2020,"DAL",230,5.1491006322529,5.06097113345515,-0.0881294987977457,4.47,2016,2.62,1.58,43,133,4.57,2.67
"134","Kareem Hunt",11841,2020,"CLE",193,5.36326542543006,5.27168566766029,-0.091579757769772,4.62,2017,2.67,1.59,42.7,134,4.57,2.67
"135","Kalen Ballage",45741,2020,"LAC",85,4.98246107662425,4.88918463856188,-0.0932764380623728,4.46,2018,2.61,1.54,42.5,135,4.57,2.67
"136","Josh Adams",45662,2018,"PHI",108,4.89811361498303,4.80451853608135,-0.0935950789016802,4.55,2018,2.66,1.64,42.5,136,4.57,2.67
"137","La'Mical Perine",26408,2020,"NYJ",62,5.15563444552883,5.06058318290788,-0.0950512626209463,4.62,2020,2.66,1.60130952380952,42.4,137,4.57,2.67
"138","Leonard Fournette",11759,2019,"JAX",249,4.95221064847157,4.85282522570053,-0.0993854227710374,4.51,2017,2.65,1.59,41.9,138,4.58,2.67
"139","Frank Gore",2282,2020,"NYJ",180,5.05565397474501,4.95575717961794,-0.0998967951270718,4.58,2005,2.66,1.60130952380952,41.9,139,4.58,2.67
"140","Alfred Morris",7165,2018,"SF",99,5.30343249109056,5.19888169741307,-0.104550793677491,4.63,2012,2.75,1.63,41.4,140,4.58,2.67
"141","Ezekiel Elliott",10638,2019,"DAL",284,5.15195910947424,5.04687983079923,-0.105079278675006,4.47,2016,2.62,1.58,41.4,141,4.58,2.68
"142","Alfred Blue",8816,2018,"HOU",105,5.07796120643616,4.96904398973119,-0.108917216704972,4.63,2014,2.67,1.59,41,142,4.58,2.68
"143","Zach Zenner",9761,2018,"DET",50,4.99669502258301,4.88559968582255,-0.111095336760453,4.6,2015,2.71,1.64,40.8,143,4.58,2.68
